,min,max,mean,median,std,p25,p75,p95,p99,zero_peak_height,zero_peak_ratio,p99.5,p99.9,p99.99,skewness,kurtosis,non_zero_min,non_zero_mean,non_zero_median,non_zero_std,non_zero_count,non_zero_ratio,non_zero_skewness,non_zero_kurtosis,high_intensity_count,high_intensity_mean,high_intensity_max,high_intensity_ratio,non_zero_peak1_value,non_zero_peak1_height,non_zero_peak2_value,non_zero_peak2_height,non_zero_peak_distance,contrast_ratio,p99_mean_ratio,p75_p25,p95_p5,p99_p1,entropy,threshold
OG_volume_array,-3024.0,3071.0,-575.8228759765625,0.0,993.9827270507812,-988.1101684570312,0.0,85.63262748718262,1313.5641784667962,7032035,0.419141948223114,1527.7513763427755,1731.0758190918082,3050.139323730189,-1.3785674498587148,1.4736693948390398,0.00023617726401425898,243.72654724121094,56.37620162963867,434.921630859375,2752869,0.16408377885818481,2.4852870985946294,5.932508534594017,167773,1582.6087646484375,3071.0,0.010000050067901611,11.595703125,7032035,-988.365234375,3147653,999.9609375,0.0,0.0,988.1101684570312,3109.6326274871826,4337.564178466796,0.3310633060402015,2756.0
OG_gaussian_volume_og,-3024.0,3070.87744140625,-575.8226928710938,0.0,993.4423828125,-988.0636596679688,0.0,85.94643783569336,1311.1604980468746,6842462,0.4078425168991089,1524.7881622314458,1727.549820556645,3030.564548950193,-1.3791086463601496,1.4719709645922947,2.461459303049196e-08,241.5687255859375,56.04668426513672,432.757568359375,2774260,0.1653587818145752,2.491139303603044,5.9447793489116325,167773,1578.865966796875,3070.87744140625,0.010000050067901611,11.534663200378418,6842462,-988.4061889648438,3118014,999.9408569335938,0.0,0.0,988.0636596679688,3109.9464378356934,4335.160498046875,0.3341595236183356,2756.0
OG_gamma_volume_og,0.0,255.0,22.86545819044113,31.0,16.46541492607142,9.0,31.0,33.0,91.0,1860277,0.11088114976882935,106.0,120.0,249.0,2.0832699323096926,15.318140170283783,1.0,25.716987312209294,31.0,15.217982842904973,14916939,0.8891188502311707,2.8220949448506794,22.272038044737517,172566,110.17469837627343,255.0,0.010285735130310059,31.376953125,6993930,9.462890625,3677668,21.9140625,11.152192878715299,3.979802164561146,22.0,33.0,91.0,2.9940679443494633,219.0
OG_sharpened,0.0,255.0,22.86545819044113,31.0,16.46541492607142,9.0,31.0,33.0,91.0,1860277,0.11088114976882935,106.0,120.0,249.0,2.0832699323096926,15.318140170283783,1.0,25.716987312209294,31.0,15.217982842904973,14916939,0.8891188502311707,2.8220949448506794,22.272038044737517,172566,110.17469837627343,255.0,0.010285735130310059,31.376953125,6993930,9.462890625,3677668,21.9140625,11.152192878715299,3.979802164561146,22.0,33.0,91.0,2.9940679443494633,230.0
PRUEBA_roi_plus_gamma_mask,0.0,254.0,2.7923406958580017,0.0,9.56624572110055,0.0,0.0,32.0,33.0,15371252,0.9161980152130127,35.0,64.0,137.0,4.137835559871746,32.8466217560887,9.0,33.32069882301396,32.0,8.648072874110516,1405964,0.0838019847869873,12.620126023971542,229.07128018164656,321432,38.704516040717785,254.0,0.01915884017944336,32.24609375,904271,58.04296875,1003,25.796875,90.96311219356902,11.818042135384951,0.0,32.0,33.0,0.5866221405062695,186.0
PRUEBA_roi_plus_gamma_mask_clahe,2.0,254.0,6.102595210075378,3.0,10.657488493008959,3.0,3.0,38.0,43.0,25369,0.0015121102333068848,47.0,79.0,150.0,3.991097499760144,26.26957035485355,2.0,6.102595210075378,3.0,10.657488493008959,16777216,1.0,3.991097499760144,26.26957035485355,169051,55.451076893955076,254.0,0.01007622480392456,3.4765625,15345883,37.9296875,295643,34.453125,41.62163657531246,7.046182569836361,0.0,35.0,40.0,0.733792088566185,170.0
PRUEBA_WAVELET_NL,0.0,253.0,2.7527589797973633,0.0,9.437380317195323,0.0,0.0,32.0,32.0,15371252,0.9161980152130127,35.0,64.0,136.0,4.170913625124756,33.83304340033204,9.0,32.84837449607529,32.0,8.613986596233879,1405964,0.0838019847869873,12.678892275527678,230.69782000987783,846144,34.2323753403676,253.0,0.050434112548828125,32.119140625,692445,56.826171875,1006,24.70703125,91.90779209396091,11.624700976311262,0.0,32.0,32.0,0.5838337747662079,176.0
roi_volume,-1024.0,3071.0,6.182958602905273,0.0,53.72242736816406,0.0,0.0,42.84033393859863,76.47351913452147,15419977,0.9191022515296936,146.54998207092382,841.1378909301774,1943.2631192614372,24.444389487769268,882.2526257536882,0.00023617726401425898,79.08999633789062,46.79400634765625,170.59292602539062,1357407,0.08090776205062866,8.164410231279195,89.1650855368441,167773,327.89495849609375,3071.0,0.010000050067901611,7.748046875,15419977,39.740234375,519925,31.9921875,496.6877746582031,12.3684346032315,0.0,42.84033393859863,76.47351913452147,0.29004428149853034,1899.0
wavelet_only_roi,-1023.9000244140625,3070.900146484375,6.182958126068115,0.0,53.71686553955078,0.0,0.0,42.84586429595947,76.4299587249753,15419891,0.9190971255302429,146.49847526550474,841.0228768921094,1943.163075682336,24.446800414961555,882.3982133114325,2.8848648071289062e-05,77.11927795410156,46.350276947021484,168.88699340820312,1392061,0.08297330141067505,8.23555804624141,90.91826791491121,167773,327.83673095703125,3070.900146484375,0.010000050067901611,7.797675132751465,15419891,39.788299560546875,522339,31.990623474121094,496.6716613769531,12.361390319422858,0.0,42.84586429595947,76.4299587249753,0.2900413053573026,2109.0
gamma_only_roi,0.0,255.0,84.3617571592331,84.0,3.2120397790272253,84.0,84.0,86.0,89.0,17,1.0132789611816406e-06,93.0,135.0,197.0,22.40829998134063,750.7672474822095,1.0,84.36184264131337,84.0,3.2109186489943546,16777199,0.9999989867210388,22.45010056613832,751.3360894142968,175118,103.35072351214609,255.0,0.010437846183776855,84.169921875,15411831,87.158203125,484662,2.98828125,3.022696641070274,1.0549803962951152,0.0,2.0,5.0,0.6452327572693694,234.0
